timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,altitude
1487071305446,0,0,0,0,0,0,0,0,0,0
1487071305455,0,0.24390243902439027,-0.48780487804878053,0,0.001953125,0.99609375,0,0,0,0
1487071305465,0,0.24390243902439027,-0.48780487804878053,0,0.001953125,0.99609375,0,0,0,0
1487071305475,-0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0,0.001953125,0.998046875,0,0,0,0
1487071305484,-0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0,0.001953125,0.998046875,0,0,0,0
1487071305494,0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0.001953125,0,0.998046875,0,0,0,0
1487071305504,0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0.001953125,0,0.998046875,0,0,0,0
1487071305516,0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0.001953125,0,0.998046875,0,0,0,0
1487071305524,0.24390243902439027,0,-0.48780487804878053,0.001953125,0,0.99609375,0,0,0,0
1487071305534,0.24390243902439027,0,-0.48780487804878053,0.001953125,0,0.99609375,0,0,0,0
1487071305544,0.24390243902439027,0,-0.48780487804878053,0.001953125,0,0.99609375,0,0,0,0
1487071305554,0,-0.24390243902439027,-0.7317073170731708,0,0.001953125,0.998046875,0,0,0,0
1487071305565,0,-0.24390243902439027,-0.7317073170731708,0,0.001953125,0.998046875,0,0,0,0
1487071305575,0,-0.24390243902439027,-0.7317073170731708,0,0.001953125,0.998046875,0,0,0,0
1487071305584,0,-0.24390243902439027,-0.7317073170731708,0,0.001953125,0.998046875,0,0,0,0
1487071305594,0.24390243902439027,-0.24390243902439027,-0.24390243902439027,0,0,0.994140625,0,0,0,0
1487071305604,0.24390243902439027,-0.24390243902439027,-0.24390243902439027,0,0,0.994140625,0,0,0,0
1487071305616,0,-0.24390243902439027,-0.24390243902439027,0,0,0.994140625,0,0,0,0
1487071305625,0,-0.24390243902439027,-0.24390243902439027,0,0,0.994140625,0,0,0,0
1487071305634,0,-0.48780487804878053,-0.48780487804878053,0,0,0.99609375,0,0,0,0
1487071305644,0,-0.48780487804878053,-0.48780487804878053,0,0,0.99609375,0,0,0,0
1487071305655,0,-0.48780487804878053,-0.48780487804878053,0,0,0.99609375,0,0,0,0
1487071305665,-0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0,0,0.994140625,0,0,0,0
1487071305674,-0.24390243902439027,-0.48780487804878053,-0.48780487804878053,0,0,0.994140625,0,0,0,0
1487071305685,0,0,-0.48780487804878053,0,0,0.994140625,0,0,0,0
1487071305696,0,0,-0.48780487804878053,0,0,0.994140625,0,0,0,0
1487071305705,0.24390243902439027,0,-0.24390243902439027,0,0,0.994140625,0,0,0,0
1487071305715,0.24390243902439027,0,-0.24390243902439027,0,0,0.994140625,0,0,0,0
